Date,Open,High,Low,Close,Adj Close,Volume
2004-04-20,11.0,11.0,11.0,11.0,4.295563,8900.0
2004-04-21,11.0,11.0,10.9,10.9,4.256513,500.0
2004-04-22,11.6,11.6,11.6,11.6,4.529867,200.0
2004-04-23,11.6,11.6,8.5,8.5,3.3193,0.0
2004-04-26,11.6,11.6,11.0,11.0,4.295563,0.0
2004-04-27,11.7,11.7,11.0,11.0,4.295563,0.0
2004-04-28,11.0,11.0,11.0,11.0,4.295563,200.0
2004-04-29,11.8,11.8,8.3,8.3,3.241198,0.0
2004-04-30,11.6,11.8,11.6,11.8,4.607968,1800.0
2004-05-03,11.8,11.8,11.8,11.8,4.607968,0.0
2004-05-04,12.4,12.4,10.1,10.1,3.944109,0.0
2004-05-05,10.1,10.1,10.1,10.1,3.944109,0.0
2004-05-06,11.0,11.0,11.0,11.0,4.295563,4000.0
2004-05-07,12.0,12.0,11.1,11.1,4.334614,0.0
2004-05-10,11.0,11.0,11.0,11.0,4.295563,5000.0
2004-05-11,11.1,11.1,11.0,11.0,4.295563,10000.0
2004-05-12,12.6,12.6,11.0,11.0,4.295563,0.0
2004-05-13,12.6,12.6,11.0,11.0,4.295563,0.0
2004-05-14,12.6,12.6,12.6,12.6,4.920373,100.0
2004-05-17,12.6,12.6,11.0,11.0,4.295563,0.0
2004-05-18,12.6,12.7,12.1,12.7,4.959424,54500.0
2004-05-19,12.7,12.7,12.6,12.6,4.920373,4000.0
2004-05-20,12.4,13.0,12.4,13.0,5.076575,27200.0
2004-05-21,13.1,13.2,13.1,13.2,5.154677,3200.0
2004-05-24,13.6,13.6,13.6,13.6,5.31088,1000.0
2004-05-25,13.0,13.5,13.0,13.1,5.115625,6000.0
2004-05-26,13.3,13.3,13.2,13.2,5.154677,500.0
2004-05-27,13.5,13.6,13.5,13.6,5.31088,700.0
2004-05-28,13.6,13.7,13.6,13.6,5.31088,1300.0
2004-05-31,13.9,14.0,13.8,14.0,5.467082,3100.0
2004-06-01,14.0,14.3,13.8,14.3,5.584233,5100.0
2004-06-02,14.3,14.3,14.3,14.3,5.584233,0.0
2004-06-03,14.3,14.5,14.3,14.5,5.662334,8400.0
2004-06-04,14.5,14.5,14.5,14.5,5.662334,4700.0
2004-06-07,13.9,14.8,13.9,14.8,5.779485,5500.0
2004-06-08,14.9,15.0,14.9,15.0,5.857586,3500.0
2004-06-09,15.0,15.0,14.5,14.5,5.662334,2600.0
2004-06-10,14.5,14.5,14.5,14.5,5.662334,2100.0
2004-06-11,14.5,15.3,14.5,14.7,5.740435,27300.0
2004-06-14,14.7,14.7,14.6,14.6,5.701384,5300.0
2004-06-15,14.6,14.6,14.5,14.5,5.662334,1000.0
2004-06-16,15.3,15.3,14.5,14.5,5.662334,0.0
2004-06-17,14.3,14.3,14.3,14.3,5.584233,5700.0
2004-06-18,14.3,14.7,14.3,14.7,5.740435,7100.0
2004-06-21,15.4,15.4,15.0,15.0,5.857586,500.0
2004-06-22,14.7,14.7,14.4,14.4,5.623284,0.0
2004-06-23,14.8,14.8,14.3,14.3,5.584233,0.0
2004-06-24,15.1,15.1,14.2,14.2,5.545182,0.0
2004-06-25,14.8,14.8,14.2,14.2,5.545182,0.0
2004-06-28,14.8,14.8,14.2,14.2,5.545182,0.0
2004-06-29,15.2,15.2,14.3,14.3,5.584233,0.0
2004-06-30,14.7,15.0,14.7,15.0,5.857586,7100.0
2004-07-01,15.0,15.0,15.0,15.0,5.857586,0.0
2004-07-02,15.7,15.7,15.7,15.7,6.13094,100.0
2004-07-05,14.0,15.9,14.0,15.9,6.209041,300.0
2004-07-06,15.7,15.7,14.4,14.4,5.623284,0.0
2004-07-07,15.7,15.7,14.6,14.6,5.701384,0.0
2004-07-08,15.7,15.7,14.4,14.4,5.623284,0.0
2004-07-09,15.9,15.9,14.4,14.4,5.623284,0.0
2004-07-12,14.9,15.7,14.9,15.7,6.13094,500.0
2004-07-13,15.8,15.8,14.8,14.8,5.779485,0.0
2004-07-14,15.9,15.9,15.9,15.9,6.209041,100.0
2004-07-15,14.9,15.5,14.9,15.5,6.05284,300.0
2004-07-16,15.8,15.8,15.1,15.1,5.896636,0.0
2004-07-19,15.9,17.200001,15.9,17.200001,6.7167,3700.0
2004-07-20,17.0,17.0,17.0,17.0,6.638599,200.0
2004-07-21,17.200001,17.200001,15.7,15.7,6.13094,0.0
2004-07-22,17.5,17.5,15.7,15.7,6.13094,0.0
2004-07-23,17.5,22.1,17.0,17.0,6.638599,3000.0
2004-07-26,17.0,19.9,17.0,19.9,7.771066,1700.0
2004-07-27,16.700001,16.9,16.5,16.9,6.599549,2100.0
2004-07-28,16.9,16.9,16.6,16.6,6.482397,0.0
2004-07-29,16.5,16.9,16.5,16.9,6.599549,1100.0
2004-07-30,17.0,17.0,16.200001,16.200001,6.326194,0.0
2004-08-02,16.200001,16.200001,16.200001,16.200001,6.326194,0.0
2004-08-03,16.5,18.1,16.5,18.1,7.068155,1100.0
2004-08-04,17.0,17.0,16.0,16.0,6.248093,0.0
2004-08-05,17.0,17.0,16.0,16.0,6.248093,0.0
2004-08-06,16.9,16.9,15.4,15.4,6.013788,0.0
2004-08-09,16.9,16.9,15.5,15.5,6.05284,0.0
2004-08-10,16.9,16.9,15.5,15.5,6.05284,0.0
2004-08-11,16.0,16.0,16.0,16.0,6.248093,500.0
2004-08-12,16.0,16.0,16.0,16.0,6.248093,0.0
2004-08-13,16.5,16.5,16.0,16.0,6.248093,600.0
2004-08-16,17.0,17.0,14.1,14.1,5.506133,0.0
2004-08-17,16.0,17.5,16.0,16.5,6.443345,7200.0
2004-08-18,16.5,16.5,16.4,16.4,6.404295,4000.0
2004-08-19,16.4,16.4,16.4,16.4,6.404295,1500.0
2004-08-20,16.4,16.700001,16.4,16.700001,6.521447,1700.0
2004-08-23,16.9,17.0,16.9,17.0,6.638599,3500.0
2004-08-24,16.700001,17.0,16.5,17.0,6.638599,12300.0
2004-08-25,17.0,17.0,17.0,17.0,6.638599,5000.0
2004-08-26,17.0,17.0,16.5,17.0,6.638599,5000.0
2004-08-27,16.5,17.0,16.5,17.0,6.638599,7800.0
2004-08-30,19.0,19.0,16.1,16.1,6.287143,0.0
2004-08-31,16.5,16.9,16.5,16.9,6.599549,7100.0
2004-09-01,16.5,17.0,16.0,16.5,6.443345,21700.0
2004-09-02,16.1,16.5,16.1,16.5,6.443345,6000.0
2004-09-03,16.700001,16.9,16.700001,16.9,6.599549,600.0
2004-09-06,16.6,18.9,16.5,18.9,7.380561,6200.0
2004-09-07,19.0,19.0,16.700001,16.700001,6.521447,0.0
2004-09-08,16.700001,17.4,16.5,17.4,6.794801,15600.0
2004-09-09,17.5,17.5,16.6,16.6,6.482397,0.0
2004-09-10,17.6,17.700001,17.6,17.700001,6.911954,10000.0
2004-09-13,17.6,17.6,17.6,17.6,6.872901,2900.0
2004-09-14,18.0,20.5,17.5,20.5,8.00537,48400.0
2004-09-15,19.5,22.5,19.5,22.5,8.786379,18700.0
2004-09-16,23.0,25.0,22.6,22.6,8.82543,15700.0
2004-09-17,21.5,23.4,19.200001,23.4,9.137836,5100.0
2004-09-20,21.0,22.0,20.4,20.6,8.044418,6200.0
2004-09-21,19.700001,20.9,19.6,20.4,7.966319,6800.0
2004-09-22,20.0,20.0,20.0,20.0,7.810118,500.0
2004-09-23,20.0,24.299999,20.0,24.299999,9.48929,15300.0
2004-09-24,24.299999,24.299999,22.0,22.0,8.591126,0.0
2004-09-27,22.0,22.5,21.799999,22.5,8.786379,900.0
2004-09-28,22.799999,22.799999,21.5,21.5,8.395874,0.0
2004-09-29,23.0,23.0,23.0,23.0,8.981633,100.0
2004-09-30,22.5,22.5,20.700001,20.700001,8.08347,0.0
2004-10-01,21.0,22.799999,21.0,22.799999,8.903532,2700.0
2004-10-04,22.5,22.799999,22.5,22.799999,8.903532,1000.0
2004-10-05,23.0,23.0,22.5,22.5,8.786379,0.0
2004-10-06,23.0,26.5,23.0,25.0,9.762646,8500.0
2004-10-07,24.5,24.5,24.5,24.5,9.567393,400.0
2004-10-08,24.5,24.5,24.4,24.4,9.528342,200.0
2004-10-11,25.0,25.0,22.200001,22.200001,8.669229,0.0
2004-10-12,26.0,26.0,21.799999,21.799999,8.513026,0.0
2004-10-13,26.75,26.75,21.799999,21.799999,8.513026,0.0
2004-10-14,24.5,24.5,24.5,24.5,9.567393,100.0
2004-10-15,25.0,25.0,21.1,21.1,8.239672,0.0
2004-10-18,24.0,24.0,24.0,24.0,9.372139,600.0
2004-10-19,23.5,24.0,23.5,24.0,9.372139,1100.0
2004-10-20,24.0,24.0,24.0,24.0,9.372139,500.0
2004-10-21,24.0,24.0,22.0,22.0,8.591126,0.0
2004-10-22,24.9,24.9,23.0,23.0,8.981633,0.0
2004-10-25,23.0,23.0,23.0,23.0,8.981633,0.0
2004-10-26,24.0,24.0,22.0,22.0,8.591126,0.0
2004-10-27,23.799999,23.799999,21.1,21.1,8.239672,0.0
2004-10-28,21.0,24.5,21.0,24.5,9.567393,3700.0
2004-10-29,24.0,24.0,21.0,21.0,8.200622,0.0
2004-11-01,23.9,23.9,20.5,20.5,8.00537,0.0
2004-11-02,20.5,23.9,20.5,23.9,9.333088,300.0
2004-11-03,24.0,24.0,22.0,22.0,8.591126,0.0
2004-11-04,24.5,24.5,21.0,21.0,8.200622,0.0
2004-11-05,22.0,23.5,22.0,23.5,9.176886,700.0
2004-11-08,24.0,24.0,24.0,24.0,9.372139,300.0
2004-11-09,22.5,24.0,22.5,24.0,9.372139,500.0
2004-11-10,23.0,23.0,21.4,22.700001,8.864481,900.0
2004-11-11,23.0,23.0,21.0,21.0,8.200622,0.0
2004-11-12,23.0,24.0,23.0,24.0,9.372139,3000.0
2004-11-15,24.0,24.0,21.0,21.0,8.200622,0.0
2004-11-16,24.0,24.799999,24.0,24.799999,9.684544,2600.0
2004-11-17,25.25,25.25,23.1,23.1,9.020684,0.0
2004-11-18,25.0,26.0,25.0,26.0,10.153151,1400.0
2004-11-19,25.0,26.0,25.0,26.0,10.153151,1400.0
2004-11-22,25.5,25.5,23.1,23.1,9.020684,0.0
2004-11-23,25.75,25.75,22.0,22.0,8.591126,0.0
2004-11-24,27.25,27.25,22.799999,22.799999,8.903532,0.0
2004-11-25,26.0,26.0,23.0,23.0,8.981633,0.0
2004-11-26,25.0,26.0,24.799999,26.0,10.153151,1000.0
2004-11-29,25.75,25.75,23.6,23.6,9.215937,0.0
2004-11-30,25.75,25.75,24.1,24.1,9.411189,0.0
2004-12-01,27.75,27.75,23.4,23.4,9.137836,0.0
2004-12-02,25.0,25.0,25.0,25.0,9.762646,2000.0
2004-12-03,26.0,26.0,23.200001,23.200001,9.059734,0.0
2004-12-06,23.200001,23.200001,23.200001,23.200001,9.059734,0.0
2004-12-07,29.75,29.75,23.1,23.1,9.020684,0.0
2004-12-08,30.0,30.0,22.299999,22.299999,8.708278,0.0
2004-12-09,28.75,28.75,28.75,28.75,11.227039,200.0
2004-12-10,28.75,28.75,28.75,28.75,11.227039,0.0
2004-12-13,24.0,26.75,24.0,24.4,9.528342,18100.0
2004-12-14,24.700001,24.700001,23.1,23.1,9.020684,0.0
2004-12-15,24.5,24.5,23.200001,23.200001,9.059734,0.0
2004-12-16,24.9,24.9,24.0,24.0,9.372139,0.0
2004-12-17,24.9,24.9,23.299999,23.299999,9.098785,0.0
2004-12-20,26.0,26.0,23.299999,23.299999,9.098785,0.0
2004-12-21,24.4,24.4,23.0,23.0,8.981633,0.0
2004-12-22,24.9,24.9,23.1,23.1,9.020684,0.0
2004-12-23,24.9,25.0,24.9,25.0,9.762646,800.0
2004-12-24,24.9,24.9,23.200001,23.200001,9.059734,0.0
2004-12-27,25.0,25.0,23.1,23.1,9.020684,0.0
2004-12-28,23.1,24.5,23.0,24.5,9.567393,2400.0
2004-12-29,24.9,24.9,23.1,23.1,9.020684,0.0
2004-12-30,24.0,24.0,24.0,24.0,9.372139,100.0
2004-12-31,24.0,24.0,24.0,24.0,9.372139,0.0
2005-01-04,24.0,24.0,24.0,24.0,9.372139,200.0
2005-01-05,24.0,25.25,24.0,24.0,9.372139,6300.0
2005-01-06,24.0,24.0,23.5,23.5,9.176886,0.0
2005-01-07,24.9,25.0,24.0,24.5,9.567393,4700.0
2005-01-10,24.5,25.0,24.5,25.0,9.762646,4500.0
2005-01-11,26.5,26.5,26.5,26.5,10.348403,3900.0
2005-01-12,27.0,27.0,26.5,27.0,10.543657,10000.0
2005-01-13,26.0,27.0,26.0,27.0,10.543657,400.0
2005-01-14,27.75,27.75,25.0,25.0,9.762646,0.0
2005-01-17,24.0,27.0,22.299999,27.0,10.543657,700.0
2005-01-18,26.75,30.0,26.75,30.0,11.715173,500.0
2005-01-19,28.75,29.75,28.0,29.0,11.324669,7400.0
2005-01-20,27.0,28.0,27.0,28.0,10.934163,4100.0
2005-01-21,27.0,27.0,27.0,27.0,10.543657,100.0
2005-01-24,27.0,27.0,24.0,24.0,9.372139,0.0
2005-01-25,27.0,27.0,24.0,24.0,9.372139,0.0
2005-01-26,27.0,27.0,24.6,24.6,9.606441,0.0
2005-01-27,24.6,27.0,24.6,27.0,10.543657,400.0
2005-01-28,26.5,26.5,25.0,25.0,9.762646,0.0
2005-01-31,27.0,27.0,24.5,24.5,9.567393,0.0
2005-02-01,26.0,26.0,24.5,24.5,9.567393,0.0
2005-02-02,27.0,27.0,24.0,24.0,9.372139,0.0
2005-02-03,27.0,27.0,24.799999,24.799999,9.684544,0.0
2005-02-04,25.0,27.0,25.0,27.0,10.543657,300.0
2005-02-07,27.0,27.0,24.6,24.6,9.606441,0.0
2005-02-08,27.0,27.0,27.0,27.0,10.543657,1600.0
2005-02-09,27.0,27.0,25.25,25.25,9.860271,0.0
2005-02-10,27.0,27.0,25.0,25.0,9.762646,0.0
2005-02-11,25.0,27.25,25.0,27.25,10.641284,300.0
2005-02-14,33.5,33.5,25.25,25.25,9.860271,0.0
2005-02-15,25.25,26.75,24.0,26.5,10.348403,13900.0
2005-02-16,26.75,26.75,25.0,25.0,9.762646,0.0
2005-02-17,27.0,27.0,25.5,25.5,9.957897,0.0
2005-02-18,27.5,27.5,24.5,24.5,9.567393,0.0
2005-02-21,28.0,28.0,24.6,24.6,9.606441,0.0
2005-02-22,26.75,26.75,25.0,25.0,9.762646,0.0
2005-02-24,25.0,27.5,25.0,27.5,10.738911,200.0
2005-02-25,27.0,27.0,25.0,25.0,9.762646,0.0
2005-02-28,27.5,27.5,24.4,24.4,9.528342,0.0
2005-03-01,24.200001,26.25,24.0,26.25,10.250775,9100.0
2005-03-02,26.0,26.0,24.0,24.0,9.372139,39700.0
2005-03-03,24.0,24.0,24.0,24.0,9.372139,700.0
2005-03-04,24.0,24.0,24.0,24.0,9.372139,300.0
2005-03-07,24.4,24.4,23.700001,23.700001,9.254989,0.0
2005-03-08,24.299999,24.299999,23.5,23.5,9.176886,2300.0
2005-03-09,23.5,23.5,23.5,23.5,9.176886,100.0
2005-03-10,24.0,24.0,23.4,23.4,9.137836,0.0
2005-03-11,23.200001,23.9,23.200001,23.700001,9.254989,400.0
2005-03-14,24.4,24.4,23.5,23.5,9.176886,20500.0
2005-03-15,24.299999,24.299999,24.0,24.0,9.372139,500.0
2005-03-16,24.0,24.0,23.799999,23.799999,9.294037,2600.0
2005-03-17,24.0,24.0,24.0,24.0,9.372139,100.0
2005-03-18,24.0,24.0,24.0,24.0,9.372139,400.0
2005-03-21,23.5,24.0,23.5,23.5,9.176886,2600.0
2005-03-22,24.0,24.0,22.200001,22.200001,8.669229,0.0
2005-03-23,23.5,24.0,23.299999,24.0,9.372139,16000.0
2005-03-24,23.1,23.9,23.1,23.9,9.333088,700.0
2005-03-25,23.799999,23.799999,23.799999,23.799999,9.294037,100.0
2005-03-28,23.799999,23.799999,23.799999,23.799999,9.294037,100.0
2005-03-29,23.9,23.9,23.6,23.6,9.215937,900.0
2005-03-30,23.9,24.0,23.9,24.0,9.372139,1400.0
2005-03-31,23.9,23.9,23.1,23.1,9.020684,0.0
2005-04-01,23.9,23.9,23.200001,23.200001,9.059734,0.0
2005-04-04,24.0,24.0,23.700001,23.799999,9.294037,3200.0
2005-04-05,23.799999,23.799999,23.700001,23.700001,9.254989,1500.0
2005-04-07,23.700001,23.799999,23.5,23.5,9.176886,2000.0
2005-04-08,23.5,23.5,23.5,23.5,9.176886,1200.0
2005-04-11,24.299999,24.299999,24.299999,24.299999,9.48929,200.0
2005-04-12,23.5,23.799999,23.5,23.799999,9.294037,1500.0
2005-04-18,23.799999,24.0,23.5,23.5,9.176886,10200.0
2005-04-19,23.299999,24.0,23.299999,24.0,9.372139,5600.0
2005-04-20,23.4,24.0,23.299999,23.299999,9.098785,7500.0
2005-04-21,23.4,23.799999,23.299999,23.299999,9.098785,3500.0
2005-04-22,23.200001,23.4,23.0,23.4,9.137836,8600.0
2005-04-25,23.200001,23.200001,22.9,22.9,8.942581,5000.0
2005-04-26,23.0,23.5,22.9,22.9,8.942581,20900.0
2005-04-27,23.5,23.5,22.799999,23.0,8.981633,23000.0
2005-04-28,20.799999,20.799999,20.0,20.0,8.553936,17800.0
2005-04-29,20.0,20.5,20.0,20.5,8.767784,4300.0
2005-05-03,20.5,21.0,20.299999,20.299999,8.682247,0.0
2005-05-04,20.299999,21.1,20.0,21.1,9.024403,2100.0
2005-05-06,21.1,21.200001,20.5,21.200001,9.067174,800.0
2005-05-09,20.6,20.6,20.5,20.5,8.767784,1000.0
2005-05-10,20.299999,20.299999,20.299999,20.299999,8.682247,1000.0
2005-05-11,20.1,20.5,20.0,20.5,8.767784,4700.0
2005-05-12,20.5,20.5,20.5,20.5,8.767784,100.0
2005-05-13,20.4,20.9,20.1,20.9,8.938863,6700.0
2005-05-16,21.4,21.4,20.200001,20.200001,8.639475,0.0
2005-05-17,21.200001,21.5,21.0,21.0,8.981633,10600.0
2005-05-18,21.5,24.0,21.299999,21.299999,9.109941,8400.0
2005-05-19,21.299999,21.299999,21.299999,21.299999,9.109941,1900.0
2005-05-20,21.299999,21.5,21.299999,21.5,9.195481,1300.0
2005-05-24,21.5,22.0,21.5,22.0,9.409329,6000.0
2005-05-25,22.0,23.0,22.0,22.1,9.452102,15800.0
2005-05-26,22.200001,22.200001,22.200001,22.200001,9.49487,1500.0
2005-05-27,22.200001,22.200001,22.200001,22.200001,9.49487,2000.0
2005-05-30,22.799999,22.799999,22.1,22.1,9.452102,0.0
2005-05-31,22.200001,22.200001,22.200001,22.200001,9.49487,600.0
2005-06-01,22.200001,22.200001,22.200001,22.200001,9.49487,1500.0
2005-06-02,22.799999,22.799999,22.0,22.0,9.409329,0.0
2005-06-03,22.200001,22.200001,22.200001,22.200001,9.49487,2900.0
2005-06-06,22.799999,22.799999,22.200001,22.200001,9.49487,0.0
2005-06-07,22.200001,22.200001,22.200001,22.200001,9.49487,3000.0
2005-06-08,23.0,23.0,22.200001,22.200001,9.49487,0.0
2005-06-09,22.200001,22.200001,22.1,22.1,9.452102,4500.0
2005-06-10,22.200001,22.200001,22.200001,22.200001,9.49487,2000.0
2005-06-13,22.700001,22.700001,22.200001,22.200001,9.49487,0.0
2005-06-14,22.700001,22.700001,22.0,22.0,9.409329,0.0
2005-06-15,22.700001,22.700001,22.200001,22.200001,9.49487,0.0
2005-06-16,22.200001,22.200001,22.200001,22.200001,9.49487,300.0
2005-06-17,22.5,22.799999,22.200001,22.200001,9.49487,2000.0
2005-06-20,22.700001,22.700001,22.1,22.1,9.452102,0.0
2005-06-21,22.4,22.4,22.1,22.1,9.452102,0.0
2005-06-22,22.700001,22.700001,22.200001,22.200001,9.49487,0.0
2005-06-23,22.799999,22.799999,22.799999,22.799999,9.751487,300.0
2005-06-24,22.0,22.9,22.0,22.200001,9.49487,1800.0
2005-06-27,22.799999,22.799999,22.1,22.1,9.452102,0.0
2005-06-28,22.799999,22.799999,22.799999,22.799999,9.751487,500.0
2005-06-29,22.5,22.5,22.5,22.5,9.623178,6500.0
2005-06-30,22.6,22.799999,22.5,22.799999,9.751487,13100.0
2005-07-04,22.799999,22.799999,22.5,22.5,9.623178,12000.0
2005-07-05,22.1,22.1,22.1,22.1,9.452102,700.0
2005-07-06,22.299999,22.700001,22.200001,22.200001,9.49487,1600.0
2005-07-07,22.0,22.0,22.0,22.0,9.409329,6000.0
2005-07-08,22.0,22.0,22.0,22.0,9.409329,1000.0
2005-07-11,22.0,22.0,22.0,22.0,9.409329,2000.0
2005-07-12,22.5,22.5,22.0,22.0,9.409329,0.0
2005-07-13,22.4,22.4,22.4,22.4,9.580408,100.0
2005-07-14,22.0,22.799999,22.0,22.0,9.409329,3.0
2005-07-15,22.799999,22.799999,22.0,22.0,9.409329,0.0
2005-07-18,22.0,22.799999,22.0,22.0,9.409329,1.0
2005-07-19,22.5,22.5,22.0,22.0,9.409329,0.0
2005-07-20,22.5,22.5,22.5,22.5,9.623178,100.0
2005-07-21,22.799999,22.799999,22.0,22.0,9.409329,3000.0
2005-07-25,22.0,22.5,22.0,22.5,9.623178,2000.0
2005-07-26,22.299999,22.299999,22.0,22.0,9.409329,2000.0
2005-07-27,22.5,22.799999,22.5,22.799999,9.751487,1000.0
2005-07-28,22.1,22.799999,22.1,22.799999,9.751487,2400.0
2005-07-29,22.700001,22.700001,22.5,22.5,9.623178,0.0
2005-08-01,23.6,23.6,22.299999,22.299999,9.537638,0.0
2005-08-02,23.4,23.4,22.299999,22.299999,9.537638,0.0
2005-08-03,22.4,22.799999,22.4,22.799999,9.751487,5000.0
2005-08-04,22.299999,22.799999,22.299999,22.299999,9.537638,3500.0
2005-08-05,22.299999,22.4,22.299999,22.4,9.580408,2800.0
2005-08-08,22.299999,22.9,22.299999,22.9,9.794257,500.0
2005-08-09,23.1,23.1,22.299999,22.299999,9.537638,0.0
2005-08-10,22.200001,23.0,22.200001,23.0,9.837026,1000.0
2005-08-11,23.4,23.4,22.5,22.5,9.623178,0.0
2005-08-15,22.5,22.799999,22.0,22.6,9.665948,11700.0
2005-08-16,23.4,23.4,23.4,23.4,10.008104,100.0
2005-08-17,23.0,23.9,23.0,23.9,10.221954,200.0
2005-08-18,23.299999,23.799999,23.299999,23.799999,10.179184,2000.0
2005-08-19,23.799999,23.799999,23.200001,23.200001,9.922565,0.0
2005-08-22,23.799999,24.0,23.799999,24.0,10.264723,700.0
2005-08-23,23.799999,24.0,23.799999,24.0,10.264723,14900.0
2005-08-24,24.0,24.5,23.6,24.1,10.307493,5500.0
2005-08-25,23.700001,24.0,23.700001,24.0,10.264723,1100.0
2005-08-26,24.0,26.0,24.0,26.0,11.120116,800.0
2005-08-29,24.0,25.0,23.5,25.0,10.692421,6800.0
2005-08-30,25.25,25.25,25.25,25.25,10.799345,200.0
2005-08-31,25.5,25.5,25.5,25.5,10.906268,1300.0
2005-09-01,25.0,25.25,25.0,25.25,10.799345,1300.0
2005-09-02,24.6,25.25,24.6,25.25,10.799345,1100.0
2005-09-05,24.6,25.25,24.1,25.25,10.799345,2100.0
2005-09-06,24.5,24.9,24.5,24.9,10.649651,500.0
2005-09-07,24.6,24.6,24.6,24.6,10.521342,300.0
2005-09-08,24.9,25.25,24.9,25.25,10.799345,3200.0
2005-09-09,25.25,25.25,25.0,25.0,10.692421,700.0
2005-09-12,25.0,25.5,25.0,25.5,10.906268,7500.0
2005-09-13,25.25,25.5,25.25,25.5,10.906268,1500.0
2005-09-14,25.5,25.5,25.5,25.5,10.906268,1000.0
2005-09-15,25.75,25.75,25.25,25.25,10.799345,0.0
2005-09-16,25.75,26.0,25.75,26.0,11.120116,300.0
2005-09-19,26.0,26.5,26.0,26.5,11.333964,3300.0
2005-09-20,26.75,26.75,26.75,26.75,11.440888,400.0
2005-09-21,26.75,27.0,26.0,26.0,11.120116,1900.0
2005-09-22,26.25,26.25,26.25,26.25,11.227039,100.0
2005-09-23,25.25,26.25,25.25,25.5,10.906268,1300.0
2005-09-26,26.5,26.5,25.25,25.25,10.799345,0.0
2005-09-27,26.25,26.25,25.5,25.5,10.906268,0.0
2005-09-28,26.25,26.25,25.5,25.5,10.906268,0.0
2005-09-29,26.5,26.5,25.5,25.5,10.906268,0.0
2005-09-30,25.75,25.75,25.75,25.75,11.013194,1000.0
2005-10-03,26.25,26.25,25.75,25.75,11.013194,0.0
2005-10-04,26.25,26.25,26.25,26.25,11.227039,200.0
2005-10-05,26.25,26.25,25.5,25.5,10.906268,0.0
2005-10-06,26.0,26.0,26.0,26.0,11.120116,100.0
2005-10-07,26.25,26.25,25.25,25.25,10.799345,0.0
2005-10-10,26.25,26.25,25.25,25.25,10.799345,0.0
2005-10-11,26.25,26.25,25.0,25.0,10.692421,0.0
2005-10-12,26.0,26.0,26.0,26.0,11.120116,600.0
2005-10-13,26.25,26.25,25.5,25.5,10.906268,0.0
2005-10-14,26.0,26.0,26.0,26.0,11.120116,500.0
2005-10-17,26.0,26.5,26.0,26.0,11.120116,2800.0
2005-10-18,26.75,26.75,26.75,26.75,11.440888,10300.0
2005-10-19,27.0,27.0,26.5,26.5,11.333964,0.0
2005-10-20,26.25,27.0,26.25,27.0,11.547814,300.0
2005-10-21,27.0,27.0,27.0,27.0,11.547814,100.0
2005-10-25,27.0,27.0,25.75,25.75,11.013194,0.0
2005-10-26,27.5,27.5,26.25,26.25,11.227039,0.0
2005-10-27,27.25,27.25,27.25,27.25,11.654739,100.0
2005-10-28,27.0,28.5,27.0,28.5,12.189359,10100.0
2005-10-31,28.0,28.0,26.75,26.75,11.440888,0.0
2005-11-01,28.0,28.0,26.75,26.75,11.440888,0.0
2005-11-02,27.5,27.5,27.5,27.5,11.761662,600.0
2005-11-03,27.5,27.5,26.75,26.75,11.440888,0.0
2005-11-04,26.75,27.5,26.5,26.5,11.333964,600.0
2005-11-07,26.25,26.5,26.25,26.5,11.333964,600.0
2005-11-08,26.75,26.75,26.75,26.75,11.440888,1000.0
2005-11-09,26.5,26.5,26.5,26.5,11.333964,600.0
2005-11-10,26.25,26.75,26.25,26.25,11.227039,34.0
2005-11-11,26.0,26.0,25.0,26.0,11.120116,9500.0
2005-11-14,26.5,26.5,26.5,26.5,11.333964,100.0
2005-11-15,24.799999,25.25,24.4,24.700001,10.564112,9900.0
2005-11-16,24.700001,24.9,24.700001,24.9,10.649651,3900.0
2005-11-17,24.700001,24.9,24.4,24.9,10.649651,1600.0
2005-11-18,24.200001,24.4,24.0,24.4,10.435802,4500.0
2005-11-21,24.0,24.6,23.799999,24.6,10.521342,5900.0
2005-11-22,24.6,24.6,24.6,24.6,10.521342,400.0
2005-11-23,24.299999,24.5,23.9,24.5,10.47857,6700.0
2005-11-24,24.1,24.700001,24.1,24.700001,10.564112,1900.0
2005-11-25,24.9,24.9,24.9,24.9,10.649651,100.0
2005-11-28,24.9,25.25,24.9,25.25,10.799345,4000.0
2005-11-29,24.799999,24.799999,24.700001,24.799999,10.606879,1200.0
2005-11-30,23.799999,25.0,23.799999,24.799999,10.606879,2600.0
2005-12-01,24.6,24.6,24.6,24.6,10.521342,1000.0
2005-12-02,24.799999,24.799999,24.799999,24.799999,10.606879,100.0
2005-12-06,24.799999,24.799999,24.299999,24.299999,10.393033,0.0
2005-12-07,24.299999,24.799999,24.299999,24.299999,10.393033,50.0
2005-12-08,24.299999,24.799999,24.299999,24.299999,10.393033,10.0
2005-12-09,24.799999,24.799999,24.200001,24.200001,10.350263,0.0
2005-12-13,24.200001,32.0,24.200001,26.0,11.120116,700.0
2005-12-14,25.0,25.0,25.0,25.0,10.692421,500.0
2005-12-15,25.0,25.25,25.0,25.25,10.799345,3200.0
2005-12-16,25.0,25.0,25.0,25.0,10.692421,1000.0
2005-12-19,25.0,25.0,24.9,24.9,10.649651,1900.0
2005-12-20,24.9,24.9,24.9,24.9,10.649651,1000.0
